Type          	1CycIn     	1CycOut    	2CycIn     	2CycOut    	3CycIn     	3CycOut    	4CycIn     	4CycOut    	5CycIn     	5CycOut    	6CycIn     	6CycOut    	7CycIn     	7CycOut    	8CycIn     	8CycOut    	9CycIn     	9CycOut    	10CycIn     	10CycOut    	
BUd           	0.000000e-001	1.700750e+002	0.000000e-001	1.699985e+002	0.000000e-001	1.699993e+002	0.000000e-001	1.699945e+002	0.000000e-001	1.699913e+002	0.000000e-001	1.697060e+002	0.000000e-001	1.699605e+002	0.000000e-001	1.699701e+002	0.000000e-001	1.699391e+002	0.000000e-001	1.699380e+002	
LWR_Ufrac_In  	6.877881e-001	0.000000e-001	3.333698e-001	0.000000e-001	3.991870e-001	0.000000e-001	4.196826e-001	0.000000e-001	4.285547e-001	0.000000e-001	4.322607e-001	0.000000e-001	4.342261e-001	0.000000e-001	4.364722e-001	0.000000e-001	4.377637e-001	0.000000e-001	4.386621e-001	0.000000e-001	
LWR_TRUfrac_In	3.122119e-001	0.000000e-001	6.666302e-001	0.000000e-001	6.008130e-001	0.000000e-001	5.803174e-001	0.000000e-001	5.714453e-001	0.000000e-001	5.677393e-001	0.000000e-001	5.657739e-001	0.000000e-001	5.635278e-001	0.000000e-001	5.622363e-001	0.000000e-001	5.613379e-001	0.000000e-001	
FR_Ufrac      	0.000000e-001	7.257783e-001	7.257783e-001	6.938096e-001	6.938096e-001	6.796319e-001	6.796319e-001	6.715473e-001	6.715473e-001	6.663280e-001	6.663280e-001	6.625402e-001	6.625402e-001	6.598303e-001	6.598303e-001	6.579000e-001	6.579000e-001	6.565085e-001	6.565085e-001	6.555050e-001	
FR_TRUfrac    	0.000000e-001	2.742217e-001	2.742217e-001	3.061904e-001	3.061904e-001	3.203681e-001	3.203681e-001	3.284527e-001	3.284527e-001	3.336720e-001	3.336720e-001	3.374598e-001	3.374598e-001	3.401697e-001	3.401697e-001	3.421000e-001	3.421000e-001	3.434915e-001	3.434915e-001	3.444950e-001	
LWR_Mass_In   	1.000000e+000	0.000000e-001	1.811542e-001	0.000000e-001	1.810247e-001	0.000000e-001	1.809882e-001	0.000000e-001	1.809723e-001	0.000000e-001	1.809655e-001	0.000000e-001	1.806787e-001	0.000000e-001	1.809349e-001	0.000000e-001	1.809461e-001	0.000000e-001	1.809161e-001	0.000000e-001	
FR_Mass_In    	0.000000e-001	0.000000e-001	8.188458e-001	0.000000e-001	8.189753e-001	0.000000e-001	8.190118e-001	0.000000e-001	8.190277e-001	0.000000e-001	8.190345e-001	0.000000e-001	8.193213e-001	0.000000e-001	8.190651e-001	0.000000e-001	8.190539e-001	0.000000e-001	8.190839e-001	0.000000e-001	
TRUCR         	4.656904e-001	0.000000e-001	5.002433e-001	0.000000e-001	5.132301e-001	0.000000e-001	5.195185e-001	0.000000e-001	5.232096e-001	0.000000e-001	5.260570e-001	0.000000e-001	5.281703e-001	0.000000e-001	5.296345e-001	0.000000e-001	5.306818e-001	0.000000e-001	5.314356e-001	0.000000e-001	
LWR_SNFneeded 	2.501225e+001	0.000000e-001	9.674685e+000	0.000000e-001	8.713254e+000	0.000000e-001	8.414324e+000	0.000000e-001	8.284955e+000	0.000000e-001	8.230916e+000	0.000000e-001	8.189420e+000	0.000000e-001	8.168478e+000	0.000000e-001	8.150261e+000	0.000000e-001	8.135886e+000	0.000000e-001	
AC            	1.000000e+000	8.271170e-001	1.000000e+000	8.272479e-001	1.000000e+000	8.272847e-001	1.000000e+000	8.273007e-001	1.000000e+000	8.273076e-001	1.000000e+000	8.275974e-001	1.000000e+000	8.273385e-001	9.999999e-001	8.273272e-001	1.000000e+000	8.273575e-001	1.000000e+000	8.273581e-001	
FP            	0.000000e-001	1.728830e-001	0.000000e-001	1.727521e-001	0.000000e-001	1.727153e-001	0.000000e-001	1.726993e-001	0.000000e-001	1.726924e-001	0.000000e-001	1.724026e-001	0.000000e-001	1.726615e-001	0.000000e-001	1.726728e-001	0.000000e-001	1.726425e-001	0.000000e-001	1.726419e-001	
AC+FP         	1.000000e+000	1.000000e+000	1.000000e+000	1.000000e+000	1.000000e+000	1.000000e+000	1.000000e+000	1.000000e+000	1.000000e+000	1.000000e+000	1.000000e+000	1.000000e+000	1.000000e+000	1.000000e+000	1.000000e+000	1.000000e+000	1.000000e+000	1.000000e+000	1.000000e+000	1.000000e+000	
